timestamp|location|temperature|observatory
2017-10-20T09:11|-62.41;68.2|257.83|FR
2017-10-20T09:11|-57.49;43.16|264.65|BE
2017-10-20T09:11|55.22;84.97|27.72|AU
2017-10-20T09:11|-71.94;23.72|281.47|BE
2017-10-20T09:11|-71;27.75|46.72|AU
2017-10-20T09:11|-144.86;27.32|270.11|NZ
2017-10-20T09:11|146.93;72.52|41.13|US
2017-10-20T09:11|52.53;1.28|307.58|CA
2017-10-20T09:11|-151.86;86.32|283.28|NZ
2017-10-20T09:11|-66.55;35.18|299.56|BE
2017-10-20T09:11|67.01;50.35|301.06|CA
2017-10-20T09:11|-114.78;2.14|262.43|BE
2017-10-20T09:11|-61.76;86.05|-18.77|AU
2017-10-20T09:11|-4.33;21.34|290.79|CA
2017-10-20T09:11|-22.08;46.64|270.38|NZ
2017-10-20T09:11|69.33;72.46|282.47|BE
2017-10-20T09:11|83.55;12.75|31.72|AU
2017-10-20T09:11|80.93;70.39|17.58|US
2017-10-20T09:11|-6.23;44.35|31.29|AU
2017-10-20T09:11|135.77;28.25|-14.8|AU
2017-10-20T09:11|149.59;6.39|251.4|BE
2017-10-20T09:11|40.72;54.11|6.01|AU
2017-10-20T09:11|-175.71;75.91|305.24|CA
2017-10-20T09:11|164.49;72.03|309.94|CA
2017-10-20T09:11|138.11;7.62|286.19|BE
2017-10-20T09:11|61.43;80.93|-3.49|US
2017-10-20T09:11|109.56;79.56|280.87|CA
2017-10-20T09:11|129.61;62.48|316.81|BE
2017-10-20T09:11|-6.29;20.01|254.49|NZ
2017-10-20T09:11|41.16;3.97|-10.58|AU
2017-10-20T09:11|-150.29;63.78|49.77|US
2017-10-20T09:11|170.46;7.69|315.35|BE
2017-10-20T09:11|16.61;50.18|108.42|US
2017-10-20T09:11|-159.81;12.78|309.69|FR
2017-10-20T09:11|-122.64;35.37|7.95|US
2017-10-20T09:11|59.76;89.37|322.73|FR
2017-10-20T09:11|-15.39;53.93|297.65|NZ
2017-10-20T09:11|106.4;26.2|114.26|US
2017-10-20T09:11|153.58;65.63|3.84|AU
2017-10-20T09:11|-50.76;22.92|306.12|BE
2017-10-20T09:11|-123.59;24.75|25.3|AU
2017-10-20T09:11|80.13;69.34|312.04|CA
2017-10-20T09:11|-105.68;4.21|22.58|US
2017-10-20T09:11|-146.87;60.51|299.77|NZ
2017-10-20T09:11|111.89;31.35|255.44|FR
2017-10-20T09:11|119.79;69.03|11.63|AU
2017-10-20T09:11|-76.84;15.93|49.26|US
2017-10-20T09:11|-134.17;34.28|38.35|AU
2017-10-20T09:11|-91.08;50.66|266.42|BE
2017-10-20T09:11|-7.3;26.82|277.14|FR
